GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,cook,cuisine,drink,eating_out,employment,ethnic_food,exercise,father_education,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
2.4,Male,cereal,430,3,315,frapuccino,couple of times a week,American,Orange-Juice,2-3/week,No,1,Everyday,graduate degree,Home-made,Home-Fries,5,Sophomore,5,2,"$70,001 to $100k",5,5,1,Single,less than high school,everything,On campus,Almost everyday,$5.01 to $10,5,just right,veggie-soup,Yes,1,1165,345,5,yes,1315,187
3.654,Female,cereal,610,3,420,espresso,not very often,American,Soda,1-2/week,Part-time,4,Everyday,high school degree,Home-made,McDonalds,4,Senior,4,5,"$50,001 to $70k",4,4,1,In-relation,college degree,most products,On campus,Almost everyday,$20.01 to $30,4,just right,veggie-soup,Yes,2,725,690,4,no,900,155
3.3,Female,cereal,720,4,420,espresso,Every day,Korean/Asian,Orange-Juice,1-2/week,No,5,2/3 Week,high school degree,both,McDonalds,5,Junior,5,6,higher than $100k,5,5,7,In-relation,high school degree,most products,Rent out of campus,Almost everyday,$10.01 to $20,5,idont see,veggie-soup,No,5,1165,500,5,yes,900,155
3.2,Female,cereal,430,3,420,espresso,couple of times a week,Mexican.Spanish,Soda,1-2/week,No,5,1 Week,high school degree,Home-made,Home-Fries,4,Senior,5,7,higher than $100k,5,5,2,In-relation,college degree,certain products only,On campus,Almost everyday,$5.01 to $10,5,overweight,veggie-soup,No,5,725,690,3,yes,1315,240
3.5,Female,cereal,720,2,420,espresso,Every day,Mexican.Spanish,Soda,1-2/week,Part-time,4,Everyday,college degree,both,McDonalds,4,Senior,4,6,higher than $100k,2,5,1,Single,graduate degree,very rarely,On campus,Almost everyday,$20.01 to $30,2,slight overweight,veggie-soup,Yes,4,940,500,4,no,760,190
2.25,Female,cereal,610,3,980,espresso,not very often,American,Soda,Never,No,4,2/3 Week,less than high school,both,McDonalds,2,Sophomore,2,4,less than $15k,5,5,4,In-relation,less than high school,never,On campus,2-3/week,$30.01 to $40,5,overweight,veggie-soup,No,4,940,345,1,no,1315,190
3.8,Male,cereal,610,3,420,espresso,couple of times a week,American,Orange-Juice,1-2/week,No,5,Everyday,college degree,Home-made,McDonalds,4,Senior,5,4,"$50,001 to $70k",5,5,8,Single,college degree,most products,Rent out of campus,2-3/week,$5.01 to $10,5,slight overweight,veggie-soup,Yes,5,940,690,4,yes,1315,180
3.3,Female,cereal,720,3,420,frapuccino,not very often,American,Soda,1-2/week,Part-time,2,2/3 Week,some college degree,Home-made,McDonalds,5,Sophomore,3,3,"$70,001 to $100k",1,3,3,Single,high school degree,most products,On campus,Almost everyday,$30.01 to $40,1,just right,veggie-soup,No,1,725,500,4,no,1315,137
3.3,Female,cereal,430,3,420,frapuccino,not very often,American,Orange-Juice,every day,Part-time,5,Everyday,graduate degree,both,McDonalds,4,freshman,5,7,"$70,001 to $100k",5,5,8,In-relation,graduate degree,certain products only,On campus,2-3/week,$10.01 to $20,5,slight overweight,creamy-soup,No,5,725,345,3,no,760,180
3.3,Female,cereal,430,3,315,espresso,not very often,American,Orange-Juice,2-3/week,No,5,Everyday,graduate degree,Home-made,McDonalds,5,freshman,5,3,"$50,001 to $70k",4,5,3,In-relation,graduate degree,everything,On campus,1-2/week,$10.01 to $20,4,just right,veggie-soup,Yes,4,580,345,5,yes,900,125
3.5,Female,cereal,610,3,980,espresso,Every day,American,Soda,1-2/week,Full-time,5,Everyday,high school degree,Home-made,McDonalds,5,Junior,1,9,"$30,001 to $50k",1,5,8,Single,college degree,certain products only,Live with parents,Almost everyday,$5.01 to $10,2,slim,veggie-soup,Yes,2,940,345,5,no,900,116
3.904,Female,cereal,720,4,420,espresso,not very often,American,Orange-Juice,Never,Part-time,5,Everyday,some college degree,Home-made,McDonalds,5,Sophomore,5,1,"$70,001 to $100k",5,5,1,In-relation,college degree,everything,On campus,Almost everyday,$10.01 to $20,5,very fit,veggie-soup,Yes,5,940,500,5,yes,900,110
